Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2019-11-20,9.0,9.0,0.0,9.0,9.0,9.0,0.0,100
2019-11-21,8.989999771118164,8.989999771118164,0.0,13.0,8.210000038146973,12.600000381469727,0.0,4070300
2019-11-22,8.979999542236328,8.979999542236328,0.0,8.979999542236328,7.5,8.050000190734863,0.0,663700
2019-11-25,8.289999961853027,8.289999961853027,0.0,8.979999542236328,7.360000133514404,8.880000114440918,0.0,1110400
2019-11-26,8.1899995803833,8.1899995803833,0.0,8.489999771118164,8.0,8.25,0.0,673600
2019-11-27,8.25,8.25,0.0,8.420000076293945,8.050000190734863,8.25,0.0,132500
2019-11-29,8.25,8.25,0.0,8.460000038146973,8.010000228881836,8.260000228881836,0.0,97100
2019-12-02,8.350000381469727,8.350000381469727,0.0,8.399999618530273,8.09000015258789,8.09000015258789,0.0,95300
2019-12-03,8.180000305175781,8.180000305175781,0.0,8.460000038146973,8.170000076293945,8.289999961853027,0.0,67100
2019-12-04,8.069999694824219,8.069999694824219,0.0,8.4350004196167,8.010000228881836,8.220000267028809,0.0,50200
2019-12-05,7.849999904632568,7.849999904632568,0.0,8.097000122070312,7.519999980926514,8.0,0.0,284600
2019-12-06,7.800000190734863,7.800000190734863,0.0,8.100000381469727,7.099999904632568,8.100000381469727,0.0,354900
2019-12-09,7.25,7.25,0.0,7.900000095367432,7.179999828338623,7.900000095367432,0.0,142800
2019-12-10,6.570000171661377,6.570000171661377,0.0,7.239999771118164,6.454999923706055,7.239999771118164,0.0,198400
2019-12-11,6.170000076293945,6.170000076293945,0.0,6.590000152587891,6.050000190734863,6.590000152587891,0.0,164000
2019-12-12,5.710000038146973,5.710000038146973,0.0,6.230000019073486,5.550000190734863,6.110000133514404,0.0,202200
2019-12-13,5.239999771118164,5.239999771118164,0.0,5.849999904632568,5.199999809265137,5.75,0.0,212200
2019-12-16,4.650000095367432,4.650000095367432,0.0,5.210000038146973,4.559999942779541,5.199999809265137,0.0,442300
2019-12-17,5.190000057220459,5.190000057220459,0.0,5.329999923706055,4.560999870300293,4.599999904632568,0.0,451700
2019-12-18,4.630000114440918,4.630000114440918,0.0,5.28000020980835,4.599999904632568,5.199999809265137,0.0,424800
2019-12-19,4.650000095367432,4.650000095367432,0.0,4.860000133514404,4.550000190734863,4.570000171661377,0.0,201800
2019-12-20,4.769999980926514,4.769999980926514,0.0,4.960000038146973,4.610000133514404,4.610000133514404,0.0,75800
2019-12-23,5.289999961853027,5.289999961853027,0.0,5.690000057220459,4.929999828338623,4.929999828338623,0.0,446400
2019-12-24,5.690000057220459,5.690000057220459,0.0,5.730000019073486,5.21999979019165,5.21999979019165,0.0,243600
2019-12-26,5.579999923706055,5.579999923706055,0.0,6.242000102996826,5.5,5.679999828338623,0.0,206800
2019-12-27,5.630000114440918,5.630000114440918,0.0,5.869999885559082,5.53000020980835,5.53000020980835,0.0,694000
2019-12-30,6.53000020980835,6.53000020980835,0.0,6.599999904632568,5.5,5.710000038146973,0.0,393000
2019-12-31,6.099999904632568,6.099999904632568,0.0,6.550000190734863,6.010000228881836,6.510000228881836,0.0,116700
2020-01-02,6.019999980926514,6.019999980926514,0.0,6.125,5.599999904632568,6.090000152587891,0.0,225500
2020-01-03,6.070000171661377,6.070000171661377,0.0,6.340000152587891,5.909999847412109,6.039999961853027,0.0,160600
2020-01-06,5.880000114440918,5.880000114440918,0.0,6.260000228881836,5.869999885559082,6.079999923706055,0.0,87300
2020-01-07,5.820000171661377,5.820000171661377,0.0,6.099999904632568,5.619999885559082,6.050000190734863,0.0,80000
2020-01-08,6.119999885559082,6.119999885559082,0.0,6.260000228881836,5.800000190734863,5.800000190734863,0.0,115900
2020-01-09,6.489999771118164,6.489999771118164,0.0,6.579999923706055,6.010000228881836,6.25,0.0,193300
2020-01-10,6.489999771118164,6.489999771118164,0.0,6.659999847412109,6.349999904632568,6.5,0.0,247100
2020-01-13,6.440000057220459,6.440000057220459,0.0,6.559999942779541,6.329999923706055,6.420000076293945,0.0,61100
2020-01-14,6.139999866485596,6.139999866485596,0.0,6.5,6.079999923706055,6.409999847412109,0.0,128900
2020-01-15,5.619999885559082,5.619999885559082,0.0,6.291999816894531,5.510000228881836,6.150000095367432,0.0,240700
2020-01-16,5.78000020980835,5.78000020980835,0.0,5.920000076293945,5.559999942779541,5.659999847412109,0.0,90700
2020-01-17,6.0,6.0,0.0,6.199999809265137,5.800000190734863,5.800000190734863,0.0,82400
2020-01-21,5.699999809265137,5.699999809265137,0.0,6.199999809265137,5.599999904632568,6.039999961853027,0.0,132700
2020-01-22,5.239999771118164,5.239999771118164,0.0,5.900000095367432,5.130000114440918,5.849999904632568,0.0,808500
2020-01-23,5.079999923706055,5.079999923706055,0.0,5.369999885559082,5.011000156402588,5.210000038146973,0.0,87800
2020-01-24,5.070000171661377,5.070000171661377,0.0,5.159999847412109,5.050000190734863,5.079999923706055,0.0,39500
2020-01-27,4.989999771118164,4.989999771118164,0.0,5.2820000648498535,4.800000190734863,5.050000190734863,0.0,61800
2020-01-28,5.050000190734863,5.050000190734863,0.0,5.203000068664551,5.0,5.0,0.0,60400
2020-01-29,5.670000076293945,5.670000076293945,0.0,5.710000038146973,5.039999961853027,5.039999961853027,0.0,89800
2020-01-30,5.860000133514404,5.860000133514404,0.0,5.880000114440918,5.550000190734863,5.699999809265137,0.0,168500
2020-01-31,6.0,6.0,0.0,6.5,5.296999931335449,5.900000095367432,0.0,262400
2020-02-03,5.579999923706055,5.579999923706055,0.0,5.920000076293945,5.400000095367432,5.920000076293945,0.0,216800
2020-02-04,5.110000133514404,5.110000133514404,0.0,5.5,5.050000190734863,5.5,0.0,277500
2020-02-05,4.940000057220459,4.940000057220459,0.0,5.489999771118164,4.860000133514404,5.199999809265137,0.0,149300
2020-02-06,4.880000114440918,4.880000114440918,0.0,5.289999961853027,4.820000171661377,5.099999904632568,0.0,253700
2020-02-07,4.550000190734863,4.550000190734863,0.0,5.110000133514404,4.5,5.050000190734863,0.0,336400
2020-02-10,4.570000171661377,4.570000171661377,0.0,4.650000095367432,4.440000057220459,4.5,0.0,355400
2020-02-11,4.400000095367432,4.400000095367432,0.0,4.760000228881836,4.309999942779541,4.760000228881836,0.0,325400
2020-02-12,8.039999961853027,8.039999961853027,0.0,8.6899995803833,4.409999847412109,4.420000076293945,0.0,11997700
2020-02-13,6.639999866485596,6.639999866485596,0.0,7.460000038146973,6.03000020980835,7.059999942779541,0.0,4089200
2020-02-14,6.78000020980835,6.78000020980835,0.0,7.480000019073486,6.75,6.949999809265137,0.0,1932600
2020-02-18,5.75,5.75,0.0,6.840000152587891,5.699999809265137,6.829999923706055,0.0,1349700
2020-02-19,5.710000038146973,5.710000038146973,0.0,6.380000114440918,5.699999809265137,5.820000171661377,0.0,1029100
2020-02-20,5.320000171661377,5.320000171661377,0.0,5.650000095367432,5.110000133514404,5.5,0.0,745300
2020-02-21,5.860000133514404,5.860000133514404,0.0,5.949999809265137,5.188000202178955,5.260000228881836,0.0,580400
2020-02-24,5.650000095367432,5.650000095367432,0.0,6.090000152587891,5.46999979019165,5.989999771118164,0.0,494800
2020-02-25,5.5,5.5,0.0,5.619999885559082,5.309999942779541,5.619999885559082,0.0,326500
2020-02-26,5.5,5.5,0.0,5.570000171661377,5.349999904632568,5.400000095367432,0.0,332800
2020-02-27,5.360000133514404,5.360000133514404,0.0,5.599999904632568,5.050000190734863,5.230000019073486,0.0,451600
2020-02-28,5.090000152587891,5.090000152587891,0.0,5.230000019073486,4.800000190734863,5.230000019073486,0.0,314000
2020-03-02,5.039999961853027,5.039999961853027,0.0,5.480000019073486,4.929999828338623,5.130000114440918,0.0,225100
2020-03-03,4.900000095367432,4.900000095367432,0.0,5.28000020980835,4.829999923706055,5.019999980926514,0.0,291900
2020-03-04,4.659999847412109,4.659999847412109,0.0,4.96999979019165,4.659999847412109,4.900000095367432,0.0,229000
2020-03-05,4.829999923706055,4.829999923706055,0.0,4.888999938964844,4.610000133514404,4.630000114440918,0.0,311800
2020-03-06,4.260000228881836,4.260000228881836,0.0,4.829999923706055,4.199999809265137,4.699999809265137,0.0,418800
2020-03-09,3.380000114440918,3.380000114440918,0.0,4.050000190734863,3.299999952316284,4.050000190734863,0.0,594700
2020-03-10,3.430000066757202,3.430000066757202,0.0,3.6500000953674316,3.4200000762939453,3.640000104904175,0.0,462700
2020-03-11,3.9100000858306885,3.9100000858306885,0.0,3.9600000381469727,3.299999952316284,3.309999942779541,0.0,510800
2020-03-12,3.509999990463257,3.509999990463257,0.0,3.559999942779541,3.390000104904175,3.450000047683716,0.0,442300
2020-03-13,3.369999885559082,3.369999885559082,0.0,3.5480000972747803,3.359999895095825,3.4600000381469727,0.0,285800
2020-03-16,2.880000114440918,2.880000114440918,0.0,3.2300000190734863,2.859999895095825,3.0,0.0,714500
2020-03-17,2.809999942779541,2.809999942779541,0.0,2.950000047683716,2.690000057220459,2.859999895095825,0.0,401200
2020-03-18,3.009999990463257,3.009999990463257,0.0,3.0999999046325684,2.5299999713897705,2.7300000190734863,0.0,428300
2020-03-19,3.2699999809265137,3.2699999809265137,0.0,3.2699999809265137,2.75,3.009999990463257,0.0,292000
2020-03-20,3.109999895095825,3.109999895095825,0.0,3.5799999237060547,2.9600000381469727,3.450000047683716,0.0,247500
2020-03-23,3.049999952316284,3.049999952316284,0.0,3.1700000762939453,2.859999895095825,3.1700000762939453,0.0,578900
2020-03-24,2.950000047683716,2.950000047683716,0.0,3.180000066757202,2.9000000953674316,3.1500000953674316,0.0,639500
2020-03-25,2.9800000190734863,2.9800000190734863,0.0,3.1700000762939453,2.9800000190734863,2.9800000190734863,0.0,245800
2020-03-26,3.059999942779541,3.059999942779541,0.0,3.130000114440918,2.950000047683716,3.0,0.0,344300
2020-03-27,3.049999952316284,3.049999952316284,0.0,3.180000066757202,2.950000047683716,2.9800000190734863,0.0,410700
2020-03-30,2.9000000953674316,2.9000000953674316,0.0,3.0199999809265137,2.880000114440918,3.009999990463257,0.0,324800
2020-03-31,3.0399999618530273,3.0399999618530273,0.0,3.0899999141693115,2.8499999046325684,2.950000047683716,0.0,115300
2020-04-01,2.869999885559082,2.869999885559082,0.0,3.0199999809265137,2.869999885559082,2.940000057220459,0.0,143600
2020-04-02,2.940000057220459,2.940000057220459,0.0,3.0199999809265137,2.869999885559082,2.890000104904175,0.0,199600
2020-04-03,2.880000114440918,2.880000114440918,0.0,3.0350000858306885,2.869999885559082,3.0199999809265137,0.0,73900
2020-04-06,3.5199999809265137,3.5199999809265137,0.0,3.690000057220459,3.055999994277954,3.069999933242798,0.0,405900
2020-04-07,3.5,3.5,0.0,3.990000009536743,3.430000066757202,3.990000009536743,0.0,223700
2020-04-08,3.5199999809265137,3.5199999809265137,0.0,3.736999988555908,3.444999933242798,3.7200000286102295,0.0,96100
2020-04-09,3.200000047683716,3.200000047683716,0.0,3.680000066757202,3.0999999046325684,3.680000066757202,0.0,303700
2020-04-13,4.03000020980835,4.03000020980835,0.0,4.329999923706055,3.25,3.5799999237060547,0.0,554600
2020-04-14,4.599999904632568,4.599999904632568,0.0,4.980000019073486,4.300000190734863,4.400000095367432,0.0,935100
2020-04-15,4.150000095367432,4.150000095367432,0.0,4.573999881744385,4.099999904632568,4.5,0.0,268700
2020-04-16,4.440000057220459,4.440000057220459,0.0,4.849999904632568,4.349999904632568,4.659999847412109,0.0,174400
2020-04-17,4.679999828338623,4.679999828338623,0.0,4.699999809265137,4.460000038146973,4.699999809265137,0.0,183300
2020-04-20,4.170000076293945,4.170000076293945,0.0,4.849999904632568,4.150000095367432,4.849999904632568,0.0,280700
2020-04-21,4.269999980926514,4.269999980926514,0.0,4.400000095367432,4.25,4.360000133514404,0.0,141700
2020-04-22,4.28000020980835,4.28000020980835,0.0,4.449999809265137,4.199999809265137,4.340000152587891,0.0,114000
2020-04-23,4.429999828338623,4.429999828338623,0.0,4.579999923706055,4.28000020980835,4.440000057220459,0.0,322200
2020-04-24,4.230000019073486,4.230000019073486,0.0,4.480000019073486,4.110000133514404,4.480000019073486,0.0,215800
2020-04-27,4.440000057220459,4.440000057220459,0.0,4.489999771118164,4.25,4.340000152587891,0.0,224300
2020-04-28,4.650000095367432,4.650000095367432,0.0,4.670000076293945,4.320000171661377,4.480000019073486,0.0,331700
2020-04-29,4.760000228881836,4.760000228881836,0.0,4.989999771118164,4.659999847412109,4.949999809265137,0.0,462300
2020-04-30,5.179999828338623,5.179999828338623,0.0,5.239999771118164,4.760000228881836,4.920000076293945,0.0,427900
2020-05-01,4.599999904632568,4.599999904632568,0.0,5.230000019073486,4.559999942779541,5.179999828338623,0.0,269600
2020-05-04,4.630000114440918,4.630000114440918,0.0,4.840000152587891,4.5,4.630000114440918,0.0,254600
2020-05-05,4.690000057220459,4.690000057220459,0.0,4.849999904632568,4.599999904632568,4.849999904632568,0.0,169800
2020-05-06,5.039999961853027,5.039999961853027,0.0,5.139999866485596,4.820000171661377,4.820000171661377,0.0,655300
2020-05-07,5.800000190734863,5.800000190734863,0.0,5.800000190734863,5.099999904632568,5.150000095367432,0.0,1149100
2020-05-08,5.889999866485596,5.889999866485596,0.0,5.989999771118164,5.550000190734863,5.949999809265137,0.0,903000
2020-05-11,5.389999866485596,5.389999866485596,0.0,5.889999866485596,5.199999809265137,5.849999904632568,0.0,623900
2020-05-12,5.730000019073486,5.730000019073486,0.0,5.789999961853027,5.400000095367432,5.699999809265137,0.0,459500
2020-05-13,5.989999771118164,5.989999771118164,0.0,6.0,5.559999942779541,5.869999885559082,0.0,356500
2020-05-14,5.96999979019165,5.96999979019165,0.0,5.980000019073486,5.389999866485596,5.929999828338623,0.0,459900
2020-05-15,4.389999866485596,4.389999866485596,0.0,5.760000228881836,4.0,5.590000152587891,0.0,1401300
2020-05-18,4.449999809265137,4.449999809265137,0.0,4.840000152587891,4.440000057220459,4.5,0.0,429500
2020-05-19,4.369999885559082,4.369999885559082,0.0,4.599999904632568,4.25,4.5,0.0,247100
2020-05-20,4.199999809265137,4.199999809265137,0.0,4.5,4.119999885559082,4.400000095367432,0.0,219700
2020-05-21,3.990000009536743,3.990000009536743,0.0,4.150000095367432,3.75,3.950000047683716,0.0,374200
2020-05-22,3.819999933242798,3.819999933242798,0.0,3.9600000381469727,3.75,3.9600000381469727,0.0,339400
2020-05-26,3.359999895095825,3.359999895095825,0.0,3.9800000190734863,3.3499999046325684,3.819999933242798,0.0,707500
2020-05-27,3.0,3.0,0.0,3.450000047683716,2.940000057220459,3.359999895095825,0.0,1415500
2020-05-28,2.9100000858306885,2.9100000858306885,0.0,3.1500000953674316,2.759999990463257,3.140000104904175,0.0,2186700
2020-05-29,2.359999895095825,2.359999895095825,0.0,2.8499999046325684,2.359999895095825,2.819999933242798,0.0,2786800
2020-06-01,2.119999885559082,2.119999885559082,0.0,2.5,2.0,2.5,0.0,3380000
2020-06-02,2.490000009536743,2.490000009536743,0.0,3.25,2.1500000953674316,2.25,0.0,11490000
2020-06-03,2.4100000858306885,2.4100000858306885,0.0,2.799999952316284,2.380000114440918,2.5299999713897705,0.0,4606300
2020-06-04,2.1500000953674316,2.1500000953674316,0.0,2.450000047683716,2.119999885559082,2.4100000858306885,0.0,4389700
