Date,ticker,source,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,adj_factor,adj_open,adj_close
1996-11-13,BCDA,yfinance,32400.0,36450.0,32400.0,36450.0,36450.0,1,0.0,0.0,1.0,32400.0,36450.0
1996-11-14,BCDA,yfinance,36450.0,36450.0,34425.0,35437.5,35437.5,1,0.0,0.0,1.0,36450.0,35437.5
1996-11-15,BCDA,yfinance,35437.5,35437.5,32400.0,35437.5,35437.5,1,0.0,0.0,1.0,35437.5,35437.5
1996-11-18,BCDA,yfinance,35437.5,35437.5,35437.5,35437.5,35437.5,0,0.0,0.0,1.0,35437.5,35437.5
1996-11-19,BCDA,yfinance,35437.5,36450.0,32400.0,36450.0,36450.0,5,0.0,0.0,1.0,35437.5,36450.0
1996-11-20,BCDA,yfinance,36450.0,36450.0,32400.0,36450.0,36450.0,3,0.0,0.0,1.0,36450.0,36450.0
1996-11-21,BCDA,yfinance,36450.0,36450.0,32400.0,34425.0,34425.0,1,0.0,0.0,1.0,36450.0,34425.0
1996-11-22,BCDA,yfinance,34425.0,34425.0,34425.0,34425.0,34425.0,1,0.0,0.0,1.0,34425.0,34425.0
1996-11-25,BCDA,yfinance,34425.0,34425.0,32400.0,34425.0,34425.0,0,0.0,0.0,1.0,34425.0,34425.0
1996-11-26,BCDA,yfinance,34425.0,34425.0,34425.0,34425.0,34425.0,0,0.0,0.0,1.0,34425.0,34425.0
1996-11-27,BCDA,yfinance,34425.0,34425.0,31387.5,31387.5,31387.5,0,0.0,0.0,1.0,34425.0,31387.5
1996-11-29,BCDA,yfinance,31387.5,31387.5,31387.5,31387.5,31387.5,0,0.0,0.0,1.0,31387.5,31387.5
1996-12-02,BCDA,yfinance,31387.5,31387.5,31387.5,31387.5,31387.5,0,0.0,0.0,1.0,31387.5,31387.5
1996-12-03,BCDA,yfinance,31387.5,33412.5,31387.5,32400.0,32400.0,1,0.0,0.0,1.0,31387.5,32400.0
1996-12-04,BCDA,yfinance,34425.0,34425.0,34425.0,34425.0,34425.0,1,0.0,0.0,1.0,34425.0,34425.0
1996-12-05,BCDA,yfinance,32400.0,32400.0,32400.0,32400.0,32400.0,0,0.0,0.0,1.0,32400.0,32400.0
1996-12-06,BCDA,yfinance,32400.0,34425.0,30375.0,34425.0,34425.0,1,0.0,0.0,1.0,32400.0,34425.0
1996-12-09,BCDA,yfinance,30375.0,30375.0,30375.0,30375.0,30375.0,0,0.0,0.0,1.0,30375.0,30375.0
1996-12-10,BCDA,yfinance,30375.0,30375.0,30375.0,30375.0,30375.0,0,0.0,0.0,1.0,30375.0,30375.0
1996-12-11,BCDA,yfinance,30375.0,34425.0,30375.0,34425.0,34425.0,1,0.0,0.0,1.0,30375.0,34425.0
1996-12-12,BCDA,yfinance,34425.0,34425.0,34425.0,34425.0,34425.0,0,0.0,0.0,1.0,34425.0,34425.0
1996-12-13,BCDA,yfinance,30375.0,34425.0,30375.0,34425.0,34425.0,7,0.0,0.0,1.0,30375.0,34425.0
1996-12-16,BCDA,yfinance,30375.0,34425.0,30375.0,34425.0,34425.0,1,0.0,0.0,1.0,30375.0,34425.0
1996-12-17,BCDA,yfinance,30375.0,34425.0,30375.0,34425.0,34425.0,1,0.0,0.0,1.0,30375.0,34425.0
1996-12-18,BCDA,yfinance,30375.0,34425.0,30375.0,30375.0,30375.0,4,0.0,0.0,1.0,30375.0,30375.0
1996-12-19,BCDA,yfinance,30375.0,34425.0,28350.0,32400.0,32400.0,1,0.0,0.0,1.0,30375.0,32400.0
