accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,isXBRLNumeric,primaryDocument,primaryDocDescription
0001062993-26-002973,2026-06-02,2026-03-31,2026-06-02T13:10:04.000Z,34,10-K,001-40398,261053833,,XBRL,20177711,1,1,1.0,form10k.htm,FORM 10-K
0001062993-26-002965,2026-06-02,2026-06-02,2026-06-02T10:23:19.000Z,34,8-K,001-40398,261053530,"2.02,9.01",XBRL,412831,1,1,0.0,form8k.htm,FORM 8-K
0001062993-26-002783,2026-05-19,2026-05-18,2026-05-19T00:01:20.000Z,34,8-K,001-40398,26995559,"8.01,9.01",XBRL,266996,1,1,0.0,form8k.htm,FORM 8-K
0001062993-26-002517,2026-05-12,2026-05-11,2026-05-12T13:21:17.000Z,34,8-K,001-40398,26966163,"3.03,5.03,7.01",XBRL,591305,1,1,0.0,form8k.htm,FORM 8-K
0001062993-26-002404,2026-05-07,2026-05-07,2026-05-07T21:27:26.000Z,34,8-K,001-40398,26954997,"8.01,9.01",XBRL,261184,1,1,0.0,form8k.htm,FORM 8-K
0001062993-26-002077,2026-04-22,2026-04-16,2026-04-22T00:38:37.000Z,34,8-K,001-40398,26881032,"1.01,2.03,3.02,8.01,9.01",XBRL,1369745,1,1,0.0,form8k.htm,FORM 8-K
0001062993-26-002003,2026-04-15,2026-04-15,2026-04-15T21:04:20.000Z,34,8-K,001-40398,26864820,"8.01,9.01",XBRL,259345,1,1,0.0,form8k.htm,FORM 8-K
0001062993-25-017025,2025-11-25,,2025-11-25T22:01:51.000Z,33,424B5,333-291676,251522411,,424B5,650910,1,1,,form424b5.htm,FORM 424B5
