accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,isXBRLNumeric,primaryDocument,primaryDocDescription
0001104659-26-029206,2026-03-17,,2026-03-17T15:22:52.000Z,33,424B5,333-290963,26759923,,424B5,1036761,1,1,,tm268871-1_424b5.htm,424B5
0001193805-25-001475,2025-10-20,,2025-10-20T18:13:23.000Z,33,424B3,333-290963,251403330,,424B3,654025,1,1,,e664912_424b3-sealsq.htm,
0001193805-25-001464,2025-10-16,,2025-10-16T14:25:36.000Z,33,424B5,333-286098,251396716,,424B5,427105,0,0,,e664909_424b5-sealsq.htm,
0001193805-25-001417,2025-10-07,,2025-10-07T13:24:07.000Z,33,424B5,333-286098,251378414,,424B5,445039,0,0,,e664888_424b5-sealsq.htm,
0001193805-25-001018,2025-07-15,,2025-07-15T14:22:51.000Z,33,424B5,333-286098,251123493,,424B5,434441,0,0,,e664696_424b5-sealsq.htm,
